schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
FERNANDODIEDCARLOS;\n\nA capable and popular king, Fernando struggled to preserve the traditional Spanish way of life. After a reign of 25 years which began in 1808 when his father, Charles IV, abdicated, seeing the Napoleonic Wars and the collapse of the viceroyalties, King Ferdinand VII has died today at the age of 49. Somewhat famous for inbreeding, the genetics of the Spanish house of Bourbon cursed Fernando to, despite having been married four times since 1802, have difficulty in having children. Indeed, his parents were cousins, his first marriage was to a cousin and his second and fourth marriages to nieces. Finally, in 1830, Isabel II was born. She is, however, a girl, and is thus excluded from succession. Thus, his brother, Carlos María Isidro de Borbón, has ascended to the throne. However, supporters of Isabel II's claim to the throne, the so-called Christinos, have refused to recognize Carlos' legitimacy. They are slowly working towards inciting popular rebellion to take over Spain, which we cannot allow.;;;;;;;;;;;;;
FERNANDODIEDOPT;This can't be happening...;;;;;;;;;;;;;
purchase_socotra_title;Purchase Socotra;;;;;;;;;;;;;
purchase_socotra_desc;We require a location to construct a coaling station to be used by the new steamship line on the Suez-Bombay route in the area of the mouth of the Red Sea. It has been proposed that we send an offer to purchase the island of Socotra to the Sultanate of Mahra, the Yemeni state controlling it, as it is perfectly situated along the route.;;;;;;;;;;;;;
BRITISHSOCOTRA;\n\nThe British have proposed a treaty to buy the island of Socotra as a coaling station for 30,000 pounds sterling. While this is a lot of money that would surely benefit us, Britain could use the island as an outpost to invade Yemen. Our countrymen on the island would certainly feel abandoned if we were to turn them over to the Brits.;;;;;;;;;;;;;
MAHRASOCOTRAYES;\n\nThe Sultan of Mahra has signed the proposed treaty, ceding us the island of Socotra. The vital coaling station is now in our hands.;;;;;;;;;;;;;
MAHRASOCOTRANO;\n\nThe Sultan of Mahra has rejected the proposed treaty, stating that the island of Socotra is an inseparable part of the sultanate. No amount of money will convince him otherwise.;;;;;;;;;;;;
SALAVERRYCOUP;\n\nBrigadier General Felipe Santiago Salaverry del Solar has seized power in Lima. With president Orbegoso visiting Arequipa, a revolt broke out among unpaid soldiers and officers garrisoning the Real Felipe del Callao Fortress. Salaverry took the fortress by storm and ended the mutiny. Using his new position of power, he conspired with the rebellious garrison to stage a coup together with his own forces. With the former conservative Bermudists joining his cause against the liberal Orbegoso, Salaverry has taken control of most of Peru with little resistance. However, Orbegoso's main base of support in the liberal South has refused to recognize Salaverry's authority. Orbegoso has approached the Bolivians to seek support against Salaverry, and the war to come will decide the fate of Peru.;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_POR_MPR;The Liberal Wars;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_POR_MPR;The Liberal Wars;;;;;;;;;;;;;
oran_french_war_title;The Capture of Oran;;;;;;;;;;;;;
oran_french_war_desc;Now that we have taken Algiers, the next important port to secure the pacification of Algeria is Oran. General Bourmont, who was on the way to seizing the port, has withdrawn his troops after the abdication of Charles X. However, should we choose to, we can send a new force commanded by Marshal Bertrand Clauzel. Further conquests in Algeria are supported by the people, with whom the already successful conquest of Algiers is immensely popular.;;;;;;;;;;;;;
invade_syria_egypt_title;The Invasion of Syria;;;;;;;;;;;;;
invade_syria_egypt_desc;When Sultan Mahmud II called on us in 1825 for aid in the Greek Revolt, he promised us Crete, Cyprus and Morea in return. While we landed a significant army and drove the rebels out of most of the Peloponnese within months, the Ottomans did not hold up their end of the bargain. Now, the time has come to take compensation from them by force. The rich province of Syria is directly on our border and home to religious sites of Islam, Judaism and Christianity. It would make a for a fitting prize to conquer. \n\n§RWarning: You have to merge the brigades that are generated by this decision§W;;;;;;;;;;;;;
ottos_cry_to_russia_title;Appeal to Russia;;;;;;;;;;;;;
ottos_cry_to_russia_desc;The Egyptians have crushed our army. Our only choice is to reach out to the Russians to request their aid in the war to prevent Egypt from capturing Konstantiniyye itself. Though this will demonstrate our weakness internationally, we have no other choice.;;;;;;;;;;;;;
OTTOSCRYTOUS;\n\nMuhammed Ali of Egypt has trounced the Ottoman Army. Even though they were outnumbered heavily, the invaders have sent the disorganized Ottomans into a scattered retreat, leaving Konstantiniyye open. Sultan Mahmud II has personally requested that we intervene against Egypt. In return, he promises an alliance -- and access through the coveted Turkish Straits.;;;;;;;;;;;;;
KUTAHYA;\n\nThe Ottomans have convinced Russia to intervene against us in our war. Although we have the Ottomans on the run, we must consider that our army is also somewhat depleted and will have difficulties standing up to the largest army on Earth -- Russia's. Sultan Mahmud II, knowing this, has sent us a peace offer. It would cede us the provinces of Syria and Adana and re-establish our position as nominal vassals of the Empire. We would certainly have another opportunity to finish them off for good later on after having time to lick our wounds.;;;;;;;;;;;;;
CHATOWAR;\n\nThe region of Champa, in central and southern Vietnam, was reduced to the principalities of Panduranga and Kauthara on the eve of the 16th century. Kauthara was annexed by the Vietnamese halfway through the 17th century, and by now Panduranga has lost its hereditary monarchy status, with kings being appointed by the Vietnamese court in Hue. Panduranga officials have recently been supporting the rival faction of Le Van Duyet, in defiance of the Vietnamese suzerain. In response, Emperor Minh Mang has declared that the Cham king, Po Phaok The, ought to be arrested, and that Champa must be incorporated into the Vietnamese Empire for the king's treasonous behavior. Vietnamese troops are mobilizing for an invasion of our kingdom.;;;;;;;;;;;;;
CHATOWARCHA;\n\nThe region of Champa, in central and southern Vietnam, was reduced to the principalities of Panduranga and Kauthara on the eve of the 16th century. We annexed Kauthara halfway through the 17th century, and by now, Panduranga has lost its hereditary monarchy status, with kings being appointed by our court in Hue. Emperor Minh Mang has accused the king of Panduranga, Po Phaok The, of supporting the faction of Le Van Duyet, a rival of our empire. Thus, Minh Mang has made a declaration that the king of Champa must be toppled, and that the Champan people should be incorporated into our empire. Cham troops are mobilizing for the defense of their kingdom.;;;;;;;;;;;;;;;;;;;;;;;;;;
KATIPSUMAT;\n\nRecently, rumors have been brought to light that the Cham Muslim leader Katip Sumat has spent the early months of 1833 gathering his followers in a remote base in the countryside. Demanding from his followers "absolute loyalty to Allah and Islam," he had been preaching the Qur'an and disseminating Islamism, defending the establishment of an Islamist Vietnam and a jihad against the Nguyen dynasty. With their flags raised, and the words Po Rasak written upon them - meaning His Great Glorious Wonderful - a clear implication for either Allah or the prophet Muhammad, the rebels have just launched attacks against Vietnamese tax register centers and military garrisons.;;;;;;;;;;;;;
JATHAKWA;\n\nFollowing our suppression of Katip Sumat's Islamist uprising in the summer of last year, the Cham people are once again acting against our rule, and it appears that they are being supported by the Montagnards. Attacking our provinces from Binh Tuan to Phu Yuen, reports reveal that Ja Thak Wa, a Cham Muslim cleric, is the leader of this revolt. It seems that his main interest is in proclaiming a new Champa dynasty, as he has announced that Po War Palei, the son-in-law of the last deputy ruler of the Champa, as the new King.;;;;;;;;;;;;;
CHAMGENOCIDE;\n\nMinh Mang, Emperor of Vietnam, had dispatched over 3,000 troops to deal with the Cham rebels since the beginning of the uprisings in the region. The monarch had promised good remittances for soldiers who killed and beheaded rebels, and a wave of massacres and systematic killings took the Cham people by a storm. Slow slicing and rampant mass killings allowed the fury of Vietnamese troops to turn into a de facto ethnocide in Champa, with competitions between the Vietnamese royal troops and Kinh paramilitary units. By the summer of 1835, the Champa king, Po War Lei, was killed in action, and Ja Thak Wa was captured by Vietnamese troops and sentenced to death. Seven to twelve Cham villages were scrambled to the ground, and the murders and exile of other revolutionaries such as Po Phoak The, and the demolition of Cham temples, cemeteries and villages, signals the end of large-scale Cham revolts.;;;;;;;;;;;;;
GEORGEIVDED;\n\nHis Majesty, George IV of the United Kingdom, has passed away today, in 1830. Born in 1762, crowned King in 1820, and dead in 1830, George was known for his absurd eating habits, his vast consumption of alcohol and his usage of laudanum to ease chronic pains. Weighing 280 pounds at his passing, George had arteriosclerosis, gout and suffered, like his father, from cataracts. The Scottish artist David Wilkie had remarked that the monarch looked like "a great sausage stuffed into the covering" due to his immense size. Having a rule marked by scandal due to his mistresses, his financial extravagance and a "selfish, unreliable and irresponsive" personality, George gradually grew ill due to his awful habits, with intensifying coughs at the time of his death. Clutching his stomach, the King died from an upper gastrointestinal bleeding resulting from the rupture of a blood vessel in his stomach. According to some versions, George's last words were: "my boy [to his page], this is death?".;;;;;;;;;;;;;
